species,decimalLongitude,decimalLatitude,country
Psittacus erithacus,-4.130323,5.331475,Côte d’Ivoire
Psittacus erithacus,-4.131133,5.315618,Côte d’Ivoire
Psittacus erithacus,-4.138484,5.330134,Côte d’Ivoire
Psittacus erithacus,7.370579,1.618798,Sao Tome and Principe
Psittacus erithacus,-4.132283,5.329843,Côte d’Ivoire
Psittacus erithacus,30.410143,0.424383,Uganda
Psittacus erithacus,7.397731,1.645035,Sao Tome and Principe
Psittacus erithacus,-4.138126,5.326938,Côte d’Ivoire
Psittacus erithacus,-4.128558,5.333154,Côte d’Ivoire
Psittacus erithacus,7.402339,1.692957,Sao Tome and Principe
Psittacus erithacus,32.248032,0.381569,Uganda
Psittacus erithacus,32.582431,0.120742,Uganda
Psittacus erithacus,10.868135,1.593562,Equatorial Guinea
Psittacus erithacus,10.862989,1.608942,Equatorial Guinea
Psittacus erithacus,10.842018,1.613341,Equatorial Guinea
Psittacus erithacus,-4.130108,5.317959,Côte d’Ivoire
Psittacus erithacus,-4.131695,5.322063,Côte d’Ivoire
Psittacus erithacus,-4.127785,5.331081,Côte d’Ivoire
Psittacus erithacus,10.863153,1.616424,Equatorial Guinea
Psittacus erithacus,-4.131041,5.325898,Côte d’Ivoire
Psittacus erithacus,-4.130114,5.329978,Côte d’Ivoire
Psittacus erithacus,7.361918,1.554376,Sao Tome and Principe
Psittacus erithacus,10.880602,1.61542,Equatorial Guinea
Psittacus erithacus,-4.128054,5.331494,Côte d’Ivoire
Psittacus erithacus,7.411633,1.665978,Sao Tome and Principe
Psittacus erithacus,-4.137184,5.327145,Côte d’Ivoire
Psittacus erithacus,-4.129059,5.330719,Côte d’Ivoire
Psittacus erithacus,7.357477,1.57385,Sao Tome and Principe
Psittacus erithacus,-1.344208,6.687614,Ghana
Psittacus erithacus,10.839766,1.613449,Equatorial Guinea
Psittacus erithacus,-4.130572,5.327258,Côte d’Ivoire
Psittacus erithacus,7.412108,1.635046,Sao Tome and Principe
Psittacus erithacus,12.8035,0.512849,Gabon
Psittacus erithacus,8.727626,3.749376,Equatorial Guinea
Psittacus erithacus,8.727641,3.748858,Equatorial Guinea
Psittacus erithacus,-4.131024,5.326755,Côte d’Ivoire
Psittacus erithacus,8.45795,5.875417,Nigeria
Psittacus erithacus,8.20795,5.625417,Nigeria
Psittacus erithacus,8.79125,5.875417,Nigeria
Psittacus erithacus,8.79125,5.792117,Nigeria
Psittacus erithacus,-1.342301,6.68782,Ghana
Psittacus erithacus,-1.344366,6.686913,Ghana
Psittacus erithacus,-4.136541,5.32471,Côte d’Ivoire
Psittacus erithacus,30.375837,0.46138,Uganda
Psittacus erithacus,7.385166,1.544328,Sao Tome and Principe
Psittacus erithacus,-4.128503,5.332567,Côte d’Ivoire
Psittacus erithacus,-4.13736,5.328346,Côte d’Ivoire
Psittacus erithacus,33.19979,0.438392,Uganda
Psittacus erithacus,-4.132211,5.330142,Côte d’Ivoire
Psittacus erithacus,30.411406,0.401792,Uganda
Psittacus erithacus,-4.137703,5.327776,Côte d’Ivoire
Psittacus erithacus,31.510763,-1.104744,"Tanzania, United Republic of"
Psittacus erithacus,33.008904,0.350032,Uganda
Psittacus erithacus,-4.132049,5.332315,Côte d’Ivoire
Psittacus erithacus,-4.128143,5.330229,Côte d’Ivoire
Psittacus erithacus,33.200428,0.43978,Uganda
Psittacus erithacus,-4.130662,5.32712,Côte d’Ivoire
Psittacus erithacus,30.408485,0.424287,Uganda
Psittacus erithacus,-4.130744,5.329146,Côte d’Ivoire
Psittacus erithacus,-4.136532,5.328902,Côte d’Ivoire
Psittacus erithacus,-4.131307,5.313394,Côte d’Ivoire
Psittacus erithacus,32.36908,1.274693,Uganda
Psittacus erithacus,30.40904,0.406375,Uganda
Psittacus erithacus,-4.130886,5.332771,Côte d’Ivoire
Psittacus erithacus,-4.131996,5.326136,Côte d’Ivoire
Psittacus erithacus,32.243843,0.382845,Uganda
Psittacus erithacus,32.71664,0.360725,Uganda
Psittacus erithacus,32.241955,0.383075,Uganda
Psittacus erithacus,-4.132249,5.330343,Côte d’Ivoire
Psittacus erithacus,-4.131211,5.329924,Côte d’Ivoire
Psittacus erithacus,-4.13063,5.330275,Côte d’Ivoire
Psittacus erithacus,32.716537,0.360181,Uganda
Psittacus erithacus,-4.128923,5.330158,Côte d’Ivoire
Psittacus erithacus,33.07844,0.578309,Uganda
Psittacus erithacus,14.928872,0.927869,Congo
Psittacus erithacus,14.899315,0.605043,Congo
Psittacus erithacus,33.078243,0.578315,Uganda
Psittacus erithacus,7.419378,1.638718,Sao Tome and Principe
Psittacus erithacus,7.414836,1.625965,Sao Tome and Principe
Psittacus erithacus,33.078804,0.577909,Uganda
Psittacus erithacus,-4.131368,5.324292,Côte d’Ivoire
Psittacus erithacus,-4.133294,5.31021,Côte d’Ivoire
Psittacus erithacus,7.418712,1.637782,Sao Tome and Principe
Psittacus erithacus,14.898937,0.604055,Congo
Psittacus erithacus,7.413226,1.646256,Sao Tome and Principe
Psittacus erithacus,-4.133774,5.328584,Côte d’Ivoire
Psittacus erithacus,-4.133922,5.31487,Côte d’Ivoire
Psittacus erithacus,-4.132533,5.321472,Côte d’Ivoire
Psittacus erithacus,11.165971,2.812819,Cameroon
Psittacus erithacus,11.183973,2.757582,Cameroon
Psittacus erithacus,14.75651,0.446238,Congo
Psittacus erithacus,31.351439,-0.259249,Uganda
Psittacus erithacus,32.18925,0.193777,Uganda
Psittacus erithacus,13.0982,-5.6215,"Congo, Democratic Republic of the"
Psittacus erithacus,32.18926,0.193025,Uganda
Psittacus erithacus,14.931724,0.601032,Congo
Psittacus erithacus,32.18776,0.197078,Uganda
Psittacus erithacus,11.46716,3.398879,Cameroon
Psittacus erithacus,32.819736,0.275218,Uganda
Psittacus erithacus,32.82039,0.280043,Uganda
Psittacus erithacus,32.34923,0.068177,Uganda
Psittacus erithacus,14.704444,1.961911,Congo
Psittacus erithacus,33.01,0.399,Uganda
Psittacus erithacus,32.6659,0.0265,Uganda
Psittacus erithacus,32.369602,1.273277,Uganda
Psittacus erithacus,33.009705,0.399358,Uganda
Psittacus erithacus,30.989405,-0.574315,Uganda
Psittacus erithacus,32.672035,0.32765,Uganda
Psittacus erithacus,33.00964,0.399481,Uganda
Psittacus erithacus,32.653084,-0.103449,Uganda
Psittacus erithacus,32.60785,0.47766,Uganda
Psittacus erithacus,33.07354,0.581139,Uganda
Psittacus erithacus,32.672,0.328,Uganda
Psittacus erithacus,32.653393,-0.101348,Uganda
Psittacus erithacus,16.36462,2.954331,Central African Republic
Psittacus erithacus,11.881955,-0.158373,Gabon
Psittacus erithacus,33.199215,0.437463,Uganda
Psittacus erithacus,30.4042,0.412185,Uganda
Psittacus erithacus,29.708082,-1.001293,Uganda
Psittacus erithacus,3.712636,6.468831,Nigeria
Psittacus erithacus,27.5268,-1.3195,"Congo, Democratic Republic of the"
Psittacus erithacus,34.884655,0.22692,Kenya
Psittacus erithacus,30.540066,0.207875,Uganda
Psittacus erithacus,33.0784,0.578372,Uganda
Psittacus erithacus,34.86586,0.238735,Kenya
Psittacus erithacus,34.957917,0.20875,Kenya
Psittacus erithacus,30.41067,0.39209,Uganda
Psittacus erithacus,30.40723,0.40694,Uganda
Psittacus erithacus,31.54004,1.70734,Uganda
Psittacus erithacus,7.437731,1.647829,Sao Tome and Principe
Psittacus erithacus,7.379483,1.663329,Sao Tome and Principe
Psittacus erithacus,7.395454,1.544367,Sao Tome and Principe
Psittacus erithacus,31.71429,1.691144,Uganda
